,Label,pose,nose,nose_coordX,nose_coordY,L_eye,L_eye_coordX,L_eye_coordY,R_eye,R_eye_coordX,R_eye_coordY,L_ear,L_ear_coordX,L_ear_coordY,R_ear,R_ear_coordX,R_ear_coordY,L_shoulder,L_shoulder_coordX,L_shoulder_coordY,R_shoulder,R_shoulder_coordX,R_shoulder_coordY,L_elbow,L_elbow_coordX,L_elbow_coordY,R_elbow,R_elbow_coordX,R_elbow_coordY,L_wrist,L_wrist_coordX,L_wrist_coordY,R_wrist,R_wrist_coordX,R_wrist_coordY,L_hip,L_hip_coordX,L_hip_coordY,R_hip,R_hip_coordX,R_hip_coordY,L_knee,L_knee_coordX,L_knee_coordY,R_knee,R_knee_coordX,R_knee_coordY,L_ankle,L_ankle_coordX,L_ankle_coordY,R_ankle,R_ankle_coordX,R_ankle_coordY
1008,Sitting,0.6609427157570334,0.999271035194397,163.86068987846375,248.58540153503418,0.9989221096038818,151.7518491744995,259.0409631729126,0.9937939047813416,152.27874755859375,241.42814445495605,0.8959180116653442,157.97343039512634,274.3173191547394,0.4167688488960266,153.5140986442566,231.81735610961914,0.9128299951553345,193.5851068496704,281.27562618255615,0.9554847478866577,198.40902042388916,219.99138498306274,0.2675590217113495,240.518874168396,318.32011318206787,0.8524570465087891,290.05039405822754,221.50826835632324,0.19475945830345154,308.3083667755127,296.3662462234497,0.885830283164978,220.54110956192017,245.59732294082642,0.7607035636901855,324.5131220817566,274.79341411590576,0.5147135257720947,336.22935359179974,231.41380786895752,0.003953725099563599,364.26195335388184,217.35352325439453,0.7082998752593994,323.0593547821045,164.40894269943237,0.22292044758796692,408.3553524017334,229.77213859558105,0.6518405675888062,417.46981048583984,237.3493549823761
1009,Sitting,0.44023997468106885,0.9971624612808228,137.46511554718018,257.44817328453064,0.6640993356704712,105.03812408447266,272.48188707232475,0.9983444213867188,109.61703372001648,239.01606512069702,0.5537499785423279,109.70904612541199,288.8722810745239,0.7952977418899536,117.54405117034912,222.26562595367432,0.8719171285629272,196.02384662628174,323.22736620903015,0.20969629287719727,200.22314548492432,187.0739860534668,0.42265939712524414,321.39638233184814,351.2802495956421,0.8803544044494629,342.1623697280884,171.05297088623047,0.42755961418151855,390.30073642730713,331.4374313354492,0.31826016306877136,395.0512866973877,223.20405679941177,0.10390809178352356,425.9524402618408,302.24210238456726,0.028884321451187134,422.8557071685791,216.55023765563965,0.08190369606018066,446.83345794677734,392.2404956817627,0.11820083856582642,459.6942558288574,149.40040493011475,0.005823075771331787,524.9029445648193,324.19100284576416,0.006258606910705566,511.48885560035706,220.44785070419312
1010,Sitting,0.6769433039076188,0.9995450973510742,77.22448658943176,272.4713495373726,0.9887778162956238,66.3800106048584,282.2691354751587,0.9937936067581177,66.06240200996399,262.8396587371826,0.4726611077785492,70.7581033706665,293.4005317687988,0.7794702053070068,70.79941654205322,248.03488063812256,0.9883870482444763,131.1349003314972,302.673903465271,0.9159032106399536,123.86620330810547,225.44020462036133,0.8786223530769348,211.06680941581726,322.262243270874,0.5538508296012878,208.8923797607422,208.31101894378662,0.8482049107551575,234.6277780532837,287.4476090669632,0.6686939001083374,236.8513469696045,252.16199684143066,0.5470127463340759,253.8130397796631,285.86902499198914,0.6808435320854187,245.45941829681396,234.15393352508545,0.6184857487678528,267.6075630187988,296.51432704925537,0.06361588835716248,287.22482681274414,243.43306732177734,0.017030715942382812,393.1048803329468,286.66399574279785,0.4931374490261078,417.76465797424316,241.93126165866852
1011,Sitting,0.6543158538201276,0.9989289045333862,138.91670989990234,387.72669291496277,0.9793001413345337,132.44963884353638,392.0062131881714,0.991523027420044,132.23898649215698,377.2209072113037,0.1081821620464325,136.24669981002808,398.82207345962524,0.8907322287559509,137.91700220108032,361.3733596801758,0.9939237833023071,184.9279613494873,400.69767850637436,0.8511898517608643,183.2946171760559,352.83560371398926,0.9663590788841248,232.18900299072266,410.5281219482422,0.024093419313430786,236.4667854309082,359.73369216918945,0.677354097366333,259.6450023651123,387.6484639644623,0.8653019666671753,259.2961301803589,365.60590291023254,0.20955437421798706,265.24841117858887,395.85070514678955,0.16319647431373596,266.5983467102051,354.05972957611084,0.7018589377403259,289.01570320129395,400.8023456931114,0.17541387677192688,282.75113105773926,352.6099624633789,0.8919506072998047,360.69705724716187,404.05120182037354,0.6345065832138062,368.7266330718994,351.09909927845
1012,Sitting,0.7456212709931767,0.9986550211906433,139.82152462005615,148.3427963256836,0.9864084124565125,131.97990131378174,155.14401245117188,0.9969387054443359,130.55490565299988,139.3840365409851,0.4046448767185211,134.90578365325928,161.61406135559082,0.9027998447418213,135.1522397994995,127.97405433654785,0.7756337523460388,180.56729698181152,170.26488590240479,0.5968661308288574,178.07048225402832,115.84753322601318,0.755518913269043,230.95971393585205,179.608491897583,0.9764000177383423,236.96885228157043,104.24462032318115,0.874524712562561,249.23382329940796,160.30739879608154,0.8005368709564209,257.40813636779785,131.17787551879883,0.35617387294769287,256.51543521881104,162.5565891265869,0.13758352398872375,263.3464412689209,124.75107383728027,0.7764695286750793,285.3356740474701,175.78148713707924,0.6099581718444824,284.2725315093994,112.09181354939938,0.8273285031318665,358.656822681427,142.71730303764343,0.8991207480430603,358.30806732177734,138.0475959777832
1013,Sitting,0.5392905000378104,0.37880706787109375,278.2172050476074,301.97125220298767,0.27933281660079956,275.44623732566833,300.8208396434784,0.30996033549308777,276.14404678344727,302.01399517059326,0.40228280425071716,278.15465927124023,302.13995933532715,0.5322238802909851,282.36473989486694,302.53960633277893,0.9079983830451965,292.4302110671997,302.6184575557709,0.9198532104492188,291.8725402355194,305.40178632736206,0.8395606279373169,311.2724771499634,304.2657570838928,0.7807009220123291,310.0282073020935,306.8769407272339,0.6358696222305298,314.5128674507141,297.3540587425232,0.37384524941444397,318.1256340742111,309.53419494628906,0.5574399828910828,327.9531011581421,301.724999666214,0.6542212963104248,326.5524458885193,306.6719870567322,0.4767160713672638,337.01156187057495,303.2114345431328,0.33351296186447144,336.4628445506096,305.92681550979614,0.3823225498199463,355.3433663845062,304.9536045193672,0.403290718793869,355.30129742622375,300.3104474544525
1014,Sitting,0.6187170165426591,0.7270419597625732,404.6606969833374,246.84006595611572,0.6640637516975403,402.8516733646393,248.12683200836182,0.659559965133667,403.33366203308105,244.58904695510864,0.2531634569168091,402.28522181510925,246.81439113616943,0.5021561980247498,404.08616065979004,241.59781062602997,0.8069556951522827,412.025803565979,246.4688491821289,0.9199274778366089,411.3116235733032,238.10600805282593,0.7352759838104248,419.1754550933838,254.8925586938858,0.7387298345565796,420.0930242538452,232.79376554489136,0.18563514947891235,424.20892810821533,252.99165153503418,0.7263899445533752,422.7792568206787,243.0024790763855,0.6472079753875732,429.5396032333374,248.4648723602295,0.8131694793701172,428.1483209133148,238.710569024086,0.5953372120857239,430.31957709789276,253.46308135986328,0.6284134387969971,429.86820912361145,242.0720272064209,0.49286893010139465,434.0685007572174,253.03680229187012,0.4222928285598755,438.802020072937,242.20538353919983
1015,Sitting,0.4108967114897335,0.9903937578201294,148.735933303833,271.15330201387405,0.7006605863571167,137.8381929397583,278.4044542312622,0.9977796673774719,146.66637778282166,252.64990639686584,0.4870084822177887,162.51452827453613,299.06261587142944,0.9200071692466736,163.91539812088013,240.27722346782684,0.324614942073822,189.7546443939209,341.35755252838135,0.010444194078445435,212.70628547668457,242.43440914154053,0.8963273763656616,250.1292495727539,411.16023445129395,0.16446951031684875,211.38717079162598,173.6269187927246,0.6463235020637512,243.67275500297546,314.2143211364746,0.16595739126205444,237.89560508728027,165.45804595947266,0.0332237184047699,320.5891742706299,361.83529710769653,0.06568074226379395,298.28333282470703,260.81301975250244,0.11026009917259216,350.0696541070938,303.83151054382324,0.0438513457775116,389.9062385559082,256.3778820037842,0.1602262556552887,441.32925033569336,269.4879379272461,0.2680153548717499,459.3575611114502,269.8898956775665
1016,Sitting,0.4370026956586277,0.9984700679779053,112.32042521238327,124.09784626960754,0.9987473487854004,94.90863466262817,144.409753292799,0.998281717300415,92.31364488601685,112.47343090176582,0.5421907901763916,103.08788204193115,176.36156463623047,0.4896242320537567,97.85050570964813,97.52776420116425,0.1410350799560547,170.16099548339844,192.57847493886948,0.8754379153251648,161.51699542999268,67.61614513397217,0.5120244026184082,278.51845359802246,197.532940864563,0.7968999147415161,286.969122171402,17.81339931488037,0.0475488007068634,208.77903938293457,141.79883289337158,0.5043210387229919,227.4398021697998,96.80863720178604,0.17760658264160156,325.0886125564575,176.04806995391846,0.0020222067832946777,338.0293941497803,66.9529664516449,0.32431939244270325,356.7383756637573,52.53933811187744,0.014702975749969482,407.67937088012695,7.587358474731445,0.004178136587142944,522.196310043335,-21.110132217407227,0.001635223627090454,520.3430423736572,-10.362897872924805
1017,Sitting,0.4024169164545396,0.9904216527938843,107.2851071357727,323.38574028015137,0.9921413660049438,90.33456230163574,335.26369309425354,0.5165610313415527,91.2407398223877,323.4865789413452,0.6267229914665222,85.98441505432129,383.0907793045044,0.007038623094558716,96.15880477428436,331.85729217529297,0.023005366325378418,168.40646743774414,440.73259353637695,0.014902383089065552,169.26148891448975,351.04741287231445,0.2644825577735901,292.6741886138916,469.13514137268066,0.9715703725814819,266.3065023422241,270.55875968933105,0.7958372831344604,360.63373279571533,366.4282283782959,0.9147171974182129,319.3249425292015,288.1538386642933,0.2497933804988861,336.19891929626465,437.7171468734741,0.05748823285102844,346.14721298217773,364.5653941631317,0.08014452457427979,410.4014024734497,328.1594886779785,0.22656980156898499,417.38665103912354,259.2474727630615,0.08101141452789307,529.84716796875,311.46373653411865,0.02867940068244934,526.0103025436401,243.20638275146484
